Starting experiment with learning rate 0.01
Epoch=0075, t_cost=0.058095224, t_acc=0.9847, t_err=228.9999, v_cost=2.815874815, v_acc=0.9080, v_err=92.0000, te_acc=0.9099, te_err=245.0000 
Epoch=0076, t_cost=0.081298895, t_acc=0.9824, t_err=264.0000, v_cost=2.447026253, v_acc=0.9140, v_err=86.0000, te_acc=0.9037, te_err=262.0001 
Epoch=0077, t_cost=0.100853778, t_acc=0.9801, t_err=299.0001, v_cost=2.632077217, v_acc=0.9080, v_err=92.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0078, t_cost=0.109398589, t_acc=0.9815, t_err=276.9998, v_cost=2.897232294, v_acc=0.9210, v_err=79.0000, te_acc=0.9029, te_err=264.0000 
Epoch=0079, t_cost=0.048803944, t_acc=0.9851, t_err=222.9998, v_cost=2.214688063, v_acc=0.9120, v_err=88.0000, te_acc=0.9055, te_err=257.0000 
Epoch=0080, t_cost=0.073598489, t_acc=0.9849, t_err=226.9998, v_cost=2.363649368, v_acc=0.9160, v_err=84.0000, te_acc=0.9066, te_err=254.0000 
Epoch=0081, t_cost=0.079544723, t_acc=0.9832, t_err=251.9998, v_cost=2.712042570, v_acc=0.9160, v_err=84.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0082, t_cost=0.063843235, t_acc=0.9837, t_err=243.9997, v_cost=2.371573925, v_acc=0.9140, v_err=86.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0083, t_cost=0.059712883, t_acc=0.9845, t_err=232.9999, v_cost=2.690618277, v_acc=0.9190, v_err=81.0000, te_acc=0.9125, te_err=237.9999 
Epoch=0084, t_cost=0.103374578, t_acc=0.9808, t_err=288.0004, v_cost=2.563912392, v_acc=0.9170, v_err=83.0000, te_acc=0.9048, te_err=258.9999 
Epoch=0085, t_cost=0.117662519, t_acc=0.9805, t_err=291.9996, v_cost=2.797961473, v_acc=0.9190, v_err=81.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0086, t_cost=0.113628678, t_acc=0.9793, t_err=311.0003, v_cost=3.178005457, v_acc=0.9140, v_err=86.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0087, t_cost=0.112362467, t_acc=0.9807, t_err=290.0004, v_cost=3.128832340, v_acc=0.9050, v_err=95.0000, te_acc=0.9033, te_err=263.0000 
Epoch=0088, t_cost=0.067874156, t_acc=0.9832, t_err=251.9998, v_cost=2.903188944, v_acc=0.9190, v_err=81.0000, te_acc=0.9026, te_err=265.0000 
Epoch=0089, t_cost=0.067259371, t_acc=0.9829, t_err=255.9999, v_cost=2.834852934, v_acc=0.9160, v_err=84.0000, te_acc=0.9033, te_err=263.0000 
Epoch=0090, t_cost=0.103444830, t_acc=0.9804, t_err=293.9996, v_cost=2.944512129, v_acc=0.9080, v_err=92.0000, te_acc=0.9022, te_err=266.0000 
Epoch=0091, t_cost=0.079942897, t_acc=0.9819, t_err=272.0001, v_cost=3.183754921, v_acc=0.9150, v_err=85.0000, te_acc=0.9070, te_err=253.0000 
Epoch=0092, t_cost=0.058734965, t_acc=0.9853, t_err=220.9997, v_cost=2.847634792, v_acc=0.9200, v_err=80.0000, te_acc=0.9092, te_err=247.0000 
Epoch=0093, t_cost=0.059626132, t_acc=0.9847, t_err=230.0003, v_cost=3.044387579, v_acc=0.9080, v_err=92.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0094, t_cost=0.065387599, t_acc=0.9831, t_err=253.9998, v_cost=2.889568806, v_acc=0.9140, v_err=86.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0095, t_cost=0.054174077, t_acc=0.9847, t_err=228.9999, v_cost=2.575599194, v_acc=0.9240, v_err=76.0000, te_acc=0.9118, te_err=240.0001 
Epoch=0096, t_cost=0.073090397, t_acc=0.9840, t_err=239.9996, v_cost=3.116545677, v_acc=0.9160, v_err=84.0000, te_acc=0.9088, te_err=247.9999 
Epoch=0097, t_cost=0.146920696, t_acc=0.9794, t_err=309.0003, v_cost=3.429471254, v_acc=0.9150, v_err=85.0000, te_acc=0.9044, te_err=259.9999 
Epoch=0098, t_cost=0.100151166, t_acc=0.9787, t_err=318.9996, v_cost=3.220828056, v_acc=0.9090, v_err=91.0000, te_acc=0.9096, te_err=246.0000 
Epoch=0099, t_cost=0.076206818, t_acc=0.9824, t_err=264.0000, v_cost=3.409396410, v_acc=0.9170, v_err=83.0000, te_acc=0.9088, te_err=247.9999 
Epoch=0100, t_cost=0.075844996, t_acc=0.9831, t_err=253.0003, v_cost=3.084252357, v_acc=0.9170, v_err=83.0000, te_acc=0.9099, te_err=245.0000 
Epoch=0101, t_cost=0.085816592, t_acc=0.9815, t_err=276.9998, v_cost=3.256443024, v_acc=0.9090, v_err=91.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0102, t_cost=0.127448693, t_acc=0.9792, t_err=311.9999, v_cost=3.582361698, v_acc=0.9100, v_err=90.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0103, t_cost=0.068368532, t_acc=0.9825, t_err=262.0000, v_cost=2.908781528, v_acc=0.9130, v_err=87.0000, te_acc=0.9085, te_err=248.9999 
Epoch=0104, t_cost=0.091836922, t_acc=0.9803, t_err=295.9996, v_cost=3.323374033, v_acc=0.9130, v_err=87.0000, te_acc=0.9088, te_err=247.9999 
Epoch=0105, t_cost=0.084903695, t_acc=0.9801, t_err=299.0001, v_cost=3.116773129, v_acc=0.9040, v_err=96.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0106, t_cost=0.100797027, t_acc=0.9803, t_err=295.9996, v_cost=3.207865238, v_acc=0.9150, v_err=85.0000, te_acc=0.9040, te_err=261.0001 
Epoch=0107, t_cost=0.107943833, t_acc=0.9822, t_err=266.9996, v_cost=3.525444269, v_acc=0.9110, v_err=89.0000, te_acc=0.9081, te_err=250.0001 
Epoch=0108, t_cost=0.105652854, t_acc=0.9814, t_err=278.9998, v_cost=3.466366291, v_acc=0.9200, v_err=80.0000, te_acc=0.9055, te_err=257.0000 
Epoch=0109, t_cost=0.092775963, t_acc=0.9812, t_err=282.0003, v_cost=3.605447769, v_acc=0.9100, v_err=90.0000, te_acc=0.9085, te_err=248.9999 
Epoch=0110, t_cost=0.101265237, t_acc=0.9810, t_err=284.9999, v_cost=4.070296764, v_acc=0.9110, v_err=89.0000, te_acc=0.9055, te_err=257.0000 
Epoch=0111, t_cost=0.077702440, t_acc=0.9813, t_err=280.9998, v_cost=3.554164410, v_acc=0.9100, v_err=90.0000, te_acc=0.9033, te_err=263.0000 
Epoch=0112, t_cost=0.043668874, t_acc=0.9859, t_err=211.0004, v_cost=3.445364714, v_acc=0.9110, v_err=89.0000, te_acc=0.9092, te_err=247.0000 
Epoch=0113, t_cost=0.062609591, t_acc=0.9843, t_err=235.0000, v_cost=3.599084854, v_acc=0.9130, v_err=87.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0114, t_cost=0.060227536, t_acc=0.9847, t_err=230.0003, v_cost=3.602363110, v_acc=0.9120, v_err=88.0000, te_acc=0.9074, te_err=252.0000 
Epoch=0115, t_cost=0.096781462, t_acc=0.9814, t_err=278.9998, v_cost=3.551634312, v_acc=0.9100, v_err=90.0000, te_acc=0.9088, te_err=247.9999 
Epoch=0116, t_cost=0.077585980, t_acc=0.9823, t_err=264.9996, v_cost=3.608123541, v_acc=0.9110, v_err=89.0000, te_acc=0.9055, te_err=257.0000 
Epoch=0117, t_cost=0.084716380, t_acc=0.9828, t_err=257.9999, v_cost=3.574284077, v_acc=0.9160, v_err=84.0000, te_acc=0.9074, te_err=252.0000 
Epoch=0118, t_cost=0.237614021, t_acc=0.9798, t_err=303.0002, v_cost=4.311048508, v_acc=0.9160, v_err=84.0000, te_acc=0.9118, te_err=240.0001 
Epoch=0119, t_cost=0.070533082, t_acc=0.9821, t_err=268.0001, v_cost=3.187948465, v_acc=0.9160, v_err=84.0000, te_acc=0.9085, te_err=248.9999 
Epoch=0120, t_cost=0.079683304, t_acc=0.9826, t_err=261.0004, v_cost=3.407026768, v_acc=0.9170, v_err=83.0000, te_acc=0.9103, te_err=244.0000 
Epoch=0121, t_cost=0.049262073, t_acc=0.9849, t_err=226.9998, v_cost=3.511047840, v_acc=0.9200, v_err=80.0000, te_acc=0.9154, te_err=230.0001 
Epoch=0122, t_cost=0.064597495, t_acc=0.9834, t_err=249.0002, v_cost=3.339218378, v_acc=0.9100, v_err=90.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0123, t_cost=0.111077897, t_acc=0.9835, t_err=247.9997, v_cost=3.777863264, v_acc=0.9110, v_err=89.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0124, t_cost=0.111584172, t_acc=0.9839, t_err=241.9996, v_cost=3.962286234, v_acc=0.9200, v_err=80.0000, te_acc=0.9114, te_err=241.0001 
Epoch=0125, t_cost=0.128365815, t_acc=0.9808, t_err=288.0004, v_cost=4.390009880, v_acc=0.9110, v_err=89.0000, te_acc=0.9037, te_err=262.0001 
Epoch=0126, t_cost=0.130049765, t_acc=0.9813, t_err=280.9998, v_cost=3.971687555, v_acc=0.9170, v_err=83.0000, te_acc=0.9121, te_err=238.9999 
Epoch=0127, t_cost=0.097158432, t_acc=0.9817, t_err=274.9997, v_cost=3.734414816, v_acc=0.9180, v_err=82.0000, te_acc=0.9074, te_err=252.0000 
